gene,class,pvalue
PIK3R2,1,0.06583538102458078
PIM1,1,0.00551893597597395
PLCB4,1,0.0001142859914411875
PLCG1,1,0.16813686033954087
PLXNB2,1,0.20550602986797142
PMS1,1,0.006810405149371962
PMS2,1,0.05598129461631909
POLE,1,0.04361676843321024
POLQ,1,0.2401343319843339
POLRMT,1,0.0160253144360299
PPM1D,1,0.0891947120240062
PPP2R1A,1,0.4199962213041035
PPP6C,1,0.09305707899667631
PRKAR1A,1,0.037072872578156287
PSIP1,1,0.1128779980328251
PTCH1,1,0.34308186544361624
PTEN,1,1.0
PTMA,1,0.040033702159649576
PTPDC1,1,0.05230778362019724
PTPN11,1,0.28814144683136117
PTPRC,1,0.0900116690291771
PTPRD,1,0.0
RAC1,1,0.5107187296740591
RAD21,1,0.004706089466151187
RAF1,1,0.04587993505163102
RARA,1,0.02466816520406738
RASA1,1,0.5958050295615014
RB1,1,1.0
RBM10,1,0.21298664105942633
RET,1,0.028929794427570092
RFC1,1,0.008797610024995363
RHEB,1,0.05505599639509942
RHOA,1,0.3129566339589097
RHOB,1,0.19566564578221518
RIT1,1,0.1470120819039583
RNF111,1,0.27304922786037733
RNF43,1,0.47829837703956535
RPL22,1,0.9971618612389885
RPL5,1,0.16533912505145693
RPS6KA3,1,0.03132284848452557
RQCD1,1,0.15997702453537968
RRAS2,1,0.2991047020057967
RUNX1,1,0.2437867517445603
RXRA,1,0.20274624756420612
SCAF4,1,0.2013044841147417
SETBP1,1,0.023601020921055
SETD2,1,1.0
SF1,1,0.08884751385452382
SF3B1,1,0.846541042077221
SIN3A,1,0.12702547878871157
SMAD2,1,0.15927065734148757
SMAD4,1,1.0
SMARCA1,1,0.05209245666064404
SMARCA4,1,0.9971618612389885
SMARCB1,1,0.06073532319698757
SMC1A,1,0.10060113601292286
SMC3,1,0.14583998220204916
SOS1,1,0.7327029759049327
SOX17,1,0.050494812983367846
SOX9,1,0.08909162104421521
SPOP,1,0.656317134326197
SPTA1,1,2.7143406461836498e-09
SPTAN1,1,0.3971129314843934
SRSF2,1,0.0320103243807081
STAG2,1,1.0
STK11,1,0.8023116995913934
TAF1,1,0.03340460292875289
TBL1XR1,1,0.026201972382979905
TBX3,1,0.000972424313056375
TCEB1,1,0.06783866260655909
TCF12,1,0.2235631880851063
TCF7L2,1,0.041951500215429836
TET2,1,0.018031139609976567
TGFBR2,1,0.4584571388245146
TGIF1,1,0.0017800448523001063
THRAP3,1,0.06196384646906649
TLR4,1,0.028016288092295213
TMSB4X,1,0.0115196638172317
TNFAIP3,1,0.0029267344825740687
TP53,1,1.0
TRAF3,1,0.050380307875584944
TSC1,1,0.22965226952485662
TSC2,1,0.37301846927650917
TXNIP,1,0.14427596404056342
U2AF1,1,0.5948579813572182
UNCX,1,0.019642176724105093
USP9X,1,0.14590496964148367
VHL,1,0.8530773941128093
WHSC1,1,0.000595746365136125
WT1,1,0.029192354178383013
XPO1,1,2.631471109783125e-05
ZBTB20,1,0.20958496788060182
ZBTB7B,1,0.19202568138070972
ZC3H12A,1,0.08667756982423482
ZCCHC12,1,0.0085821173492427
ZFHX3,1,0.0005179645340450437
ZFP36L1,1,0.09955717650288473
ZFP36L2,1,0.27209724283049036
ZMYM2,1,0.03443870502020025
ZMYM3,1,0.0020486078966699
ZNF133,1,0.0444907557379243
ZNF750,1,0.2710130991960548
ZNF280B,0,0.08498374007808275
FXYD2,0,2.7143406461836498e-09
LGALS13,0,0.040165835785027026
SPOCD1,0,0.03668818079422115
MRPL43,0,4.695849704795399e-07
HMGA1,0,2.7143406461836498e-09
MUSTN1,0,9.41892499558526e-07
WDR17,0,0.2530669452472866
RHOD,0,0.01519986322368348
KLF3,0,0.10545660576452852
HDAC11,0,0.000418316437646825
POU6F1,0,0.0014810299807346688
JAM2,0,0.004470160721748231
PEX13,0,3.0672221082921276e-07
THPO,0,0.0032933282394740186
LCE2A,0,1.0124678935810448e-06
CELF6,0,0.00140162218174995
BSG,0,0.03576585324181538
SLC7A7,0,9.843195752358125e-05
DEFB108B,0,0.000444808263488775
SLC2A8,0,0.00933665474734995
CUL7,0,0.007337986889704494
SLC38A7,0,0.021161514193909187
SPAG7,0,0.0145526980512527
CHSY1,0,0.0018092407477235688
CASP10,0,0.09733990960159472
PTGES3L,0,0.03201659251094544
MME,0,0.07318330836887264
AMHR2,0,0.017447727656809388
NOP58,0,0.0008478627115957938
PIGV,0,0.008401929649381806
HPGD,0,0.0020944415251289
C16orf74,0,0.013213804390462543
PKM,0,0.00028093909572520626
FKRP,0,0.000462889723862725
TYK2,0,3.18280097259125e-05
CCDC69,0,0.017688708842769168
APOM,0,5.428681566814929e-09
MFSD2B,0,0.007969651847491863
TCHH,0,0.005099399884821519
GIPC3,0,1.118331328683448e-06
AKR1D1,0,0.012360954303240381
RDH10,0,9.29786538074e-05
WTIP,0,0.00885594060357038
BNC2,0,0.043597376385617226
BOLA1,0,0.048282710650437224
CDK2AP2,0,0.005206836623272687
CATSPER3,0,0.0005466530877034437
NEK3,0,0.010210001736669756
NPAS1,0,0.0
HCFC1,0,0.0054689604332611875
TIFAB,0,0.002098927973919356
ZNF766,0,0.015580167808561087
ACP1,0,0.0
ELANE,0,0.00017273263618548126
CCDC87,0,0.014334546493649082
SLC22A18,0,0.0014977615052479876
RAB33B,0,4.164820440668125e-05
KCNT1,0,1.78635230782125e-05
ZNF586,0,0.0013670144881362375
GYPB,0,0.0207482681844896
SPRR1A,0,0.0165371662462976
HAT1,0,0.08301660722029815
NOP2,0,0.1523158628618023
CD247,0,1.6828963343472505e-07
DHDDS,0,0.041398514822129216
HCN3,0,6.137817803848918e-06
COMMD7,0,0.004616827895923281
CDC42EP2,0,4.0715138214455185e-08
CENPI,0,0.0161684058925214
RP11-1055B8.7,0,0.0
RTP2,0,0.000391115185235
BAALC,0,4.858713001907835e-07
OR52B2,0,0.00029772339034670625
GIMAP8,0,0.040201133371956244
RSPO2,0,0.004545355965806244
TAF1C,0,0.0015958632218625625
NES,0,0.17865074776439838
SLC30A7,0,4.532986505402601e-07
UQCRC1,0,0.021061507688372755
HOXA13,0,0.03207906151129781
INO80C,0,0.002766245367776219
C1GALT1,0,0.00877839936190142
CNOT6,0,0.0033086212653330124
CPT1B,0,0.01360245378061345
SPINT1,0,0.03172868040777571
MPZL2,0,0.0001962734369127875
ACSM5,0,0.027447887220688975
MFNG,0,0.0001012271322572125
SLC39A11,0,0.06929935254495771
RAMP2,0,1.900039023244423e-08
CPE,0,0.021951460238251744
TCEB3CL,0,0.151808586577656
CYBA,0,0.003702297157041644
C14orf182,0,0.0022046383287953187
ZNF511,0,0.07139957503414268
SHOX,0,0.029668167374983626
LHFPL3,0,0.00023105354775994374
CTRL,0,0.0007197279073282562
NID2,0,0.26057264029647104
RADIL,0,0.0
TRAPPC4,0,0.018886819350897113
SLC26A8,0,0.025886681357760892
DDAH2,0,8.143022755866843e-09
TRPC5,0,6.161622896698287e-07
TMEM102,0,0.13006874376135963
MED16,0,0.006385157453968938
RGAG4,0,0.0035885887836223
ACLY,0,0.03911681775227845
ACTL6B,0,0.010618355325085913
CWC15,0,5.863038826728968e-07
PGAM4,0,0.0007954550294738187
EIF5,0,7.60016407345877e-08
UNC13C,0,0.028009964666273063
FCER1G,0,0.022523516965965926
NDUFB2,0,5.428681566814929e-09
HCFC1R1,0,0.0007059455399043563
OCRL,0,0.034753410751763726
GAR1,0,0.029659496256776594
EPPIN,0,0.0619337643934745
CDR2,0,0.0450881592289703
TMEM123,0,2.318145783392861e-06
PNRC1,0,0.00871062912288353
TMLHE,0,0.032224959942243725
QRICH2,0,0.02455329611704622
PCDHB16,0,0.09088428516196141
BYSL,0,0.007414960619337094
DMWD,0,0.0
FAM127A,0,0.0015058313058109
HIST1H3E,0,0.04230501051946851
TTC30A,0,0.06453109174767258
ZC3H18,0,0.0032049179395161626
LDLR,0,0.014694244347598093
ARPC1B,0,0.0
GLIS1,0,0.004568853903136625
KNCN,0,2.277427228889121e-06
QDPR,0,0.013472711254374938
EI24,0,2.901785110394338e-06
PLAUR,0,0.0029438098300361188
ARHGAP19,0,0.000858677460706425
DNAH3,0,0.01859865157994397
TNFSF11,0,0.002204232059147025
TMEM199,0,0.0
CHRNA5,0,0.026757859289844883
CLEC2B,0,0.0034088412431707376
PSMA3,0,0.006306463388099094
RNF115,0,0.007531158037206531
KIF13A,0,0.024187129645426644
NUFIP1,0,0.05072345328437057
BEST2,0,0.0105360724066088
PLCXD3,0,0.07712738226240617
CLASP2,0,0.00966935838511362
ZCCHC18,0,1.737183486595777e-07
C1QTNF6,0,2.6194649851988706e-06
BMP6,0,0.0021829879208868064
COBLL1,0,0.010203004257058031
SLC32A1,0,0.006004004485075656
PTPRM,0,0.0015015077975479
CD302,0,0.04162277866147733
LMNB1,0,0.012042102860017175
TLR7,0,5.941675366951875e-05
HIST1H3A,0,4.885817318788984e-08
KRTAP19-3,0,0.0015411882620217313
GLB1L2,0,0.0006515226221803875
APBA3,0,0.0
SPTBN1,0,0.0010112875470126188
TBL1X,0,0.00015991047989793124
BCL2L14,0,0.0035163744571379127
MAGEC2,0,0.007272831536544725
MBOAT1,0,0.0029258244618226062
CDH16,0,0.0411653756490458
TROAP,0,0.03355148843887493
ARHGAP15,0,0.007646131756897313
CLTB,0,0.0006555904780721375
CHCHD2,0,2.985776205197252e-08
TENM2,0,8.360297525879735e-07
TBC1D8,0,0.030241975782334618
HAUS6,0,0.07406130116144993
PRKDC,0,0.6976741794371153
VWA3A,0,0.006139878192770944
ITM2C,0,0.002069005948892125
SH3RF2,0,0.06727842665021426
ALX4,0,0.004576235920633869
ETV7,0,0.013726148544120744
KRT80,0,0.000903452816189625
LRCH2,0,2.4972047581147373e-07
CCNE2,0,0.00122739880918465
RHBDD3,0,0.011076753531456587
RAB3A,0,0.007399569790721737
PNPLA8,0,0.021977834796052968
SLC2A2,0,0.0006843275112708063
DDX51,0,0.002081795490648706
TGFBR3,0,0.007816960089908063
SPATA6L,0,1.332773911208541e-06
GALE,0,2.7957851255753537e-07
KRTAP10-10,0,0.04374754208511283
PRKG1,0,1.1291891402447406e-06
CPA5,0,0.018799487940023524
MTHFD2L,0,0.013085295376108837
KLRC4,0,5.97161481416443e-07
P2RX5,0,0.0020156508627527437
NKD2,0,0.00024016288664455626
CPA6,0,0.019444214261784627
SEMA6B,0,0.006324265144995568
MAP2K2,0,0.07780202982216122
CKB,0,0.007587943232968637
DAB2,0,0.00789726314706675
CTU2,0,0.011736847893988907
TERT,0,0.0
ACOXL,0,0.025706448305826607
ZNF317,0,0.005489776271597794
PPP1R35,0,0.0
SERPINA9,0,2.6004627745509956e-06
TMEM200B,0,2.7143418691445374e-08
LDHC,0,0.002913486261672794
SGCG,0,0.0
TRMT5,0,0.0005343230379497187
ANXA1,0,0.0062902508977640565
ZNF254,0,0.010709437073809076
ZNF205,0,0.003758022691721006
CNTD1,0,0.030289183925985574
TRIM47,0,0.001721631420180325
WSB1,0,1.2540542853725936e-06
NXF2,0,0.0
EMP2,0,0.04259395083243013
DENND4B,0,0.0190934105407172
SIGLEC8,0,0.1803905279848267
ZNF260,0,0.004412339031461556
PCSK1,0,0.005245317469547375
PELI2,0,0.03589332324807444
CCDC138,0,0.020015139848277817
SULT1C4,0,0.010246595902880925
KRTAP12-3,0,0.01263957523084363
SLC51A,0,0.004925999019663906
ATG4B,0,0.020630109655127474
JAKMIP3,0,0.0064739739066914685
PAWR,0,0.001399807295168425
ZNF562,0,6.894215556456875e-05
C9orf16,0,0.0002819538694097125
CPLX3,0,0.023311780234419217
OR4D6,0,2.725208305761875e-05
BRAP,0,1.00584950478625e-05
PPIG,0,0.0018619615835275
MARCH3,0,0.013176889305791294
POM121C,0,2.7143406461836498e-09
JMJD6,0,0.02836732970197578
GALM,0,0.0048211507352855934
KRT79,0,0.03526886269758597
RPIA,0,1.0206112200830358e-06
FAM161B,0,0.12019614244126481
SEZ6L2,0,0.0080894090119328
KRTAP21-1,0,0.03420464535107658
CYP2U1,0,0.0016636724176199188
B9D1,0,0.013366671989120138
INS,0,1.8268126374401325e-06
CNTN3,0,0.015230254015124144
FECH,0,6.270199003570071e-07
CTDSP2,0,0.018702465477183208
SDCBP,0,0.016943805737579268
RSPO3,0,0.036464617387599145
CCNL2,0,0.02499042704699586
RRM1,0,0.002949882242133675
EVI2B,0,0.021489009351520136
OR10H5,0,0.00234460329063905
HHATL,0,0.0009786284495456438
ITPK1,0,0.052201262421888966
WDR43,0,0.0008270044639827875
TCHHL1,0,0.009374742517264157
GYPC,0,0.036370677278646256
OR8K1,0,0.02002022443023362
FAM19A5,0,0.027142655576138406
KBTBD12,0,0.003155513299216931
POLR2C,0,0.008835936874173738
ACTR10,0,3.9242430975725e-05
C8orf76,0,0.019779746900303544
PLEKHO1,0,0.02397788291284703
SIAH1,0,0.011114515478817687
IL37,0,0.025747732284110682
FAM43A,0,0.01046899529484028
DHFR,0,0.0006629213870655563
CHST12,0,0.0043564854038131064
JUN,0,0.05443893911170675
OR2V2,0,0.04699225663727631
UGT2B28,0,0.020664730857385207
DEFB134,0,0.00034158765765345624
PPIAL4G,0,0.016217182170977545
NXPE4,0,0.002980625191087744
ZMAT3,0,0.012529201975812863
MEIOB,0,0.008415216342289412
GJD4,0,0.0
TRPC4,0,0.012270161474137375
C1orf174,0,0.05202671758998417
TRAF3IP1,0,0.0006287199973333187
TCEAL6,0,0.0
PLXNA4,0,0.010271467249594306
ALG1,0,0.0008555118588901312
OR5D14,0,0.03158707820953627
NCOA3,0,0.01484900734962537
