Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,label,class
CYB5R4,0,19,0,9,10,4,0,0,3,87,13,0,0,38,2,0,12,4,0,169,0,149,6.681498285,2.688949838,16.42304958,9.766528909,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.131826345,0.004325041,6,84569370,84670144,87866.96,870,4.03E-06,0.37515,-0.01202224,9,47.86486,95.40541,0.8597639,84.37377,4.744262,34.72023,0,1,2.717948718,0,0
GUCY1B2,0,0,1,0,0,0,0,0,2,0,0,0,56,0,2,0,1,1,0,59,0,49,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.381404545,0.044103133,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,2,0,0
TPBG,0,23,0,2,6,1,0,0,0,54,5,0,0,21,0,0,10,2,0,100,0,105,6.681498285,2.688949838,16.99937137,8.927777962,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.10035773,0.01265283,6,83072923,83077131,131013.9,486,3.42E-06,0.39298,-0.002865095,3,45.91892,76.32432,0.9858432,126.1574,16.68525,57.32868,2.72E-06,24,2.727272727,0,0
KRTAP5-9,0,26,0,15,0,0,0,0,0,30,3,0,0,20,0,0,0,0,0,94,0,77,6.681498285,2.688949838,19.16101818,9.292321633,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.840375755,0.018428031,11,71259466,71260653,586192.8,626,4.44E-06,0.49683,0.04957565,8,67.05405,86.56757,0.944589,246.9803,64.33115,61.55883,0.000321463,104,1.571428571,0,0
DZIP3,0,0,0,8,14,2,1,0,15,227,30,0,0,60,13,0,16,4,0,350,0,293,6.681498285,2.688949838,17.39432033,9.87958325,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.03906201,0.000179304,3,108308337,108413692,172270,941,4.65E-06,0.359515,-0.000394096,7,53.89189,93.24324,0.8924464,140.7115,19.45246,36.53057,0.000120394,49,4.459016393,0,0
LONRF1,0,38,0,0,5,2,1,0,0,75,13,0,0,28,6,0,16,4,0,148,0,139,6.681498285,2.688949838,16.8721494,9.440869168,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.869689835,0.018531952,8,12579406,12612992,119955.3,694,6.28E-06,0.440885,0.002926248,13,37.97297,80.27027,0.9165206,91.42951,8.403279,37.04425,0.000161253,35,3.310344828,0,0
C5orf60,0,1,0,0,2,0,0,0,1,32,2,0,0,11,2,0,3,0,0,48,0,44,0.463853443,0.482988084,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,3.06E-06,6,3,0,0
PDAP1,0,14,0,0,0,0,2,0,0,32,1,0,0,19,0,0,3,0,0,65,0,57,6.681498285,2.688949838,20.08950479,8.044394119,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.078911924,0.000332812,7,98992590,99006292,1115689,263,2.58E-06,0.502025,0.0558887,9,50.81081,89.2973,0.8336903,112.7639,10.69508,54.05581,2.57E-05,9,1.65,0,0
MICA,0,11,0,2,4,0,1,0,0,38,2,0,0,15,1,0,5,0,0,69,0,69,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.110697727,0.009465001,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,7.26E-05,20,2.5625,0,0
TADA1,0,20,0,6,1,0,0,0,5,45,3,0,0,16,2,0,3,2,0,93,0,92,6.681498285,2.688949838,17.9801167,9.596189756,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,1,166825751,166845654,258554.9,773,4.78E-06,0.4193,-0.007231083,4,57.64865,95.16216,0.8437988,124.5246,13.72787,41.49075,6.02E-06,23,2.941176471,0,0
SLC1A1,0,27,0,4,1,0,0,0,1,88,6,0,0,28,5,0,2,1,0,157,0,129,6.681498285,2.688949838,17.79897673,9.668884984,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.101683089,0.005170666,9,4490427,4587469,228046.8,813,2.30E-06,0.40946,0.01901669,3,50.02703,96.35135,0.8585901,160.6164,27.4623,44.02149,4.22E-05,8,3.413793103,0,0
AL590822.2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0,0,0
ARHGAP24,0,18,0,4,5,4,0,0,21,138,14,0,0,53,4,0,6,8,0,247,0,199,7.70097719,2.641415749,14.85281476,9.531381461,-0.031557374,0.022997199,0.031204175,0.00676589,-0.11625847,0.032413974,0.229411678,0.060285659,4,86396284,86923822,29588.85,739,2.75E-06,0.37052,0.01291294,2,49.64865,97.45946,0.852432,112.4525,11.12459,44.95058,0,1,2.962962963,0,0
A3GALT2,0,0,0,0,2,0,0,0,0,22,1,0,0,8,1,0,2,0,0,32,0,32,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,2.666666667,0,0
SMAD2,0,26,0,2,4,1,0,0,8,100,37,0,0,18,4,0,4,3,0,193,0,160,6.681498285,2.688949838,16.72184283,7.539158811,-0.041537043,0.035513744,0.042206556,0.011492389,-0.14174306,0.045826584,0.496516903,0.063507672,18,45359467,45457515,108086.7,185,2.70E-06,0.404605,0.0417556,7,43.54054,93.94595,0.874348,112.3213,8.659016,38.73221,0.003001538,259,7.473684211,1,1
ADCK5,0,2,0,1,3,0,0,0,1,62,2,0,0,33,1,0,3,0,0,102,0,93,7.729826246,1.050294878,21.12351206,7.651051691,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,8,145597731,145618451,2284602,200,3.53E-06,0.59055,0.03179561,37,43.21622,70.08108,0.9477174,43.2,1.432787,62.51493,1.29E-05,5,1.911764706,0,0
CYP27B1,0,5,2,5,4,3,0,0,0,80,4,0,0,21,1,0,4,3,0,118,0,111,6.681498285,2.688949838,20.14675013,8.430452552,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.328455663,0.031475262,12,58156117,58160976,1160849,344,2.39E-06,0.46755,0.03909095,39,49.75676,89.2973,0.9355581,128.459,19.94098,57.9754,0.000152065,24.91374182,4,0,0
RORA,0,8,0,5,9,1,0,0,26,83,9,0,0,30,4,0,10,1,0,164,0,150,6.681498285,2.688949838,17.82059533,9.787902559,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.215330711,0.0363812,15,60780485,61521502,231489.8,883,2.53E-06,0.4141967,0.01303398,4,50.35135,91.81081,0.7720645,128.2033,16.77705,43.92653,1.41E-05,25,3.129032258,0,0
PSMB7,0,10,0,3,1,0,0,0,13,28,1,0,0,16,0,0,4,0,0,68,0,65,6.681498285,2.688949838,18.90878576,8.668884984,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.081915238,0.001274085,9,127115745,127177721,492165.1,406,2.21E-06,0.51316,0.03724782,4,52.78378,98.02703,0.8402865,78.2918,2.42623,46.91305,0.000186694,81,1.705882353,0,0
LRRTM1,0,29,0,17,8,1,2,0,0,206,9,0,0,123,0,0,10,1,0,384,0,314,6.681498285,2.688949838,13.42296486,10.62388149,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.321315193,0.065203896,2,80529003,80531487,10981.85,1577,8.96E-06,0.40569,-0.01776255,2,45.37838,84.45946,0.9923558,102.0098,8.304918,59.74869,0.000152065,24.91374182,1.741935484,0,0
PIAS1,0,20,0,0,9,1,4,0,0,97,5,0,0,24,7,0,23,2,0,142,0,137,6.681498285,2.688949838,18.3135022,7.607330314,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.096961052,0.000497635,15,68346572,68480402,325770.8,194,2.10E-06,0.40242,0.0311077,8,45.27027,94,0.8857356,76.91148,7.619672,40.75612,0.000288326,88,4.4,0,0
AIDA,0,9,0,1,3,2,2,0,5,42,4,0,0,11,3,0,6,2,0,74,0,72,10.04394756,0.343945793,17.76154344,8.618385502,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,1,222841357,222885864,222205.8,392,3.96E-06,0.38708,0.001234602,6,48.43243,92.81081,0.8699234,109.0787,11.56721,33.02575,2.22E-05,12,4.25,0,0
OR1Q1,0,0,0,0,1,1,0,0,0,76,3,0,0,33,0,1,1,1,0,113,0,104,6.681498285,2.688949838,18.63732535,9.337621902,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,9,125377017,125377959,407749,646,2.87E-06,0.39434,0.008702248,16,57.10811,99.54054,1,202.623,40.30164,47.99673,0.000152065,24.91374182,2.352941176,0,0
ZNF791,0,7,0,7,17,6,0,0,0,82,14,0,0,33,0,0,18,6,0,142,0,143,6.681498285,2.688949838,20.91398212,8.6794801,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,19,12721732,12740676,1975767,409,2.84E-06,0.46492,0.000850073,28,57,95.7027,0.9486148,135.1508,18.22295,41.02071,0.000152065,24.91374182,3,0,0
RP11-514P8.7,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4,0,4,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,1.5,0,0
PELI3,0,7,0,0,3,0,0,0,6,62,5,0,0,37,1,0,3,0,0,118,0,104,6.681498285,2.688949838,20.88879824,7.607330314,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,11,66234336,66244807,1941577,194,1.96E-06,0.49955,0.05134244,48,44.10811,83.05405,0.8896724,98.58033,8.540984,58.35221,1.26E-05,14,1.789473684,0,0
BMP8B,0,13,0,0,0,0,0,0,15,28,4,0,0,16,0,0,0,0,0,76,0,68,6.116704618,3.05976658,19.89622522,8.603626345,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,1,40223903,40254533,975798.5,388,2.05E-06,0.47877,0.03857199,16,41.08108,66.91892,0.2651345,93.58033,6.681967,62.22073,2.31E-06,5,1.882352941,0,0
WT1,0,26,83,0,2,2,1,0,22,100,12,2,0,37,5,0,12,6,0,274,0,246,6.681498285,2.688949838,18.44284268,9.550746785,-0.008662449,0.025212925,0.04463862,0.01476959,-0.098052986,0.029974423,8.274909032,0.856026992,11,32409325,32457087,356326.1,749,3.61E-06,0.44758,0.008653244,5,41.16216,79.51351,0.8478329,101.5443,11.80328,51.25192,6.93E-05,21,3.131578947,1,1
KLHDC10,0,9,0,1,2,0,0,0,0,51,5,0,0,16,5,0,2,0,0,87,0,77,6.681498285,2.688949838,18.71027002,8.060695932,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,7,129710349,129773593,428895.5,266,2.11E-06,0.42737,0.0369969,8,52.86486,92.97297,0.8711963,117.7377,13.8623,43.31216,4.30E-05,10,3.588235294,0,0
SLX4,0,15,0,5,20,3,2,0,2,313,14,0,0,127,4,2,22,3,0,482,0,366,6.681498285,2.688949838,19.50804272,7.813781191,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,16,3631184,3661585,745599.2,224,1.76E-06,0.50108,0.03904021,40,43.86486,89.27027,0.945532,153.3934,23.91475,56.12616,0.000109102,36,2.609375,0,0
TRIM26,0,16,0,5,4,1,0,0,0,75,9,0,0,37,1,0,6,3,1,138,0,128,6.681498285,2.688949838,20.88229825,8.927777962,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.091308288,0.000611209,6,30152234,30181153,1932849,486,2.86E-06,0.44218,0.04832948,24,46.78378,93.05405,0.7440207,95.96066,8.17377,54.99977,4.47E-05,34,2.263157895,0,0
AC090825.1,51,0,139,0,0,0,0,0,0,0,0,0,11,0,0,0,10,4,0,187,0,167,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0,0,0
SPINK14,0,0,0,0,0,0,0,0,0,23,2,0,0,6,0,0,0,0,0,31,0,27,6.681498285,2.688949838,15.94914459,8.611024797,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,5,147549296,147554961,63265.08,390,2.74E-06,0.35872,-0.007652374,9,34.21622,78.97297,0.8843989,59.21639,1.921311,38.10929,0.000152065,24.91374182,3.571428571,0,0
MAPK3,0,4,0,0,1,1,1,0,15,46,2,0,0,35,0,0,3,1,0,101,0,95,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.100511194,0.003058073,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.001069113,148,1.361111111,0,1
TSGA13,0,23,0,19,1,0,0,0,0,54,3,0,0,18,1,0,1,0,0,118,0,103,6.681498285,2.688949838,18.08962168,8.761551232,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.789493901,0.033103843,7,130353488,130371406,278944.1,433,2.22E-06,0.3972957,0.009063102,13,50.81081,89.21622,0.8685788,160.0525,26.16066,47.21259,5.31E-08,2,3.052631579,0,0
SEPSECS,0,10,5,1,0,0,0,0,0,62,5,0,0,19,2,0,2,3,0,99,0,91,6.681498285,2.688949838,18.36817733,8.985841937,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,4,25121628,25162204,338353.8,506,1.88E-06,0.42517,0.03173461,5,42.89189,93.45946,0.8930476,102.2754,7.554098,36.59725,1.60E-06,4,3.45,0,0
COQ2,0,2,0,0,1,0,0,0,0,28,3,0,0,10,0,0,1,0,0,43,0,41,6.681498285,2.688949838,18.39457197,7.77478706,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,4,84184979,84206067,344601.1,218,2.29E-06,0.419085,0.04019829,11,37.91892,80.37838,0.8857726,50.55082,3.203279,38.21283,0.000152065,24.91374182,2.818181818,0,0
MAP1LC3A,0,4,0,2,1,0,2,0,1,31,1,0,0,8,3,0,5,0,0,48,0,50,6.681498285,2.688949838,19.91773758,7.74819285,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,1.60508833,0.044725358,20,33134692,33148149,990457.9,214,2.24E-06,0.44705,0.05389955,16,36.13514,64.7027,0.8589558,68.74754,5.767213,60.8002,0.000883841,113,3.888888889,0,0
ASXL1,0,21,0,1,37,10,0,0,6,235,38,0,0,103,3,0,37,11,0,406,0,341,10.63684643,0.299414278,19.57455306,7.924812504,0.078234546,0.036237612,0.11342726,0.042034797,-0.025330603,0.004809088,0.02737605,0.000180787,20,30946147,31027121,780777.1,242,2.34E-06,0.44678,0.05736297,22,58.10811,95.59459,0.9467196,145.9934,20.60656,50.18696,1.36E-05,11,2.75,1,1
GPR133,0,4,0,14,4,1,1,0,18,204,12,0,0,111,9,1,5,1,0,373,0,299,6.681498285,2.688949838,17.74040928,8.873444113,0.007379388,0.018569564,0.05284205,0.011599528,-0.07429515,0.020709256,0.777667131,0.087492527,12,131438452,131626006,218974.4,468,5.43E-06,0.4926233,-0.000281224,6,48.2973,93.48649,0.8308886,126.6885,16.72131,53.59953,0.000152065,24.91374182,2.017857143,0,0
C20orf196,0,7,0,0,1,1,0,0,0,42,1,0,0,14,0,0,1,1,0,64,0,59,6.287890059,0.712408802,18.47954267,7.64385619,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,20,5731043,5844556,365506.8,199,3.21E-06,0.43988,0.01248659,8,53.40541,96.7027,0.8502458,131.1443,13.58361,46.93639,7.14E-07,3,2.933333333,0,0
C22orf34,0,4,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,14,0,14,1.851799631,2.485706493,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,1.75,0,0
HMHA1,0,4,0,0,6,1,1,0,11,124,8,0,0,86,3,0,7,1,0,236,0,199,6.681498285,2.688949838,21.1873412,7.693486957,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.288603377,0.005843078,19,1067174,1086627,2387949,206,3.22E-06,0.60256,0.0260103,37,38.32432,66.86486,0.9337941,60.45902,4,64.99213,1.81E-08,2,1.563218391,0,0
PCF11,0,23,0,11,16,3,1,1,0,245,38,0,0,72,2,1,19,5,0,389,0,300,6.681498285,2.688949838,18.23375588,8.257387843,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,11,82868137,82896833,308252.1,305,2.86E-06,0.40926,0.009921198,5,48.35135,95.27027,0.9423783,66.62295,2.947541,42.26089,2.74E-05,28,3.95890411,0,0
PRM2,0,19,0,9,0,0,0,0,5,28,1,0,0,12,0,0,2,0,0,72,0,68,6.681498285,2.688949838,19.27148605,8.271463028,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,16,11369493,11370337,632841.1,308,1.76E-06,0.52095,0.03676347,13,42.51351,82.43243,0.9528739,92.69836,6.8,60.75867,5.68E-09,2,2.230769231,0,0
C10orf88,0,15,0,3,7,1,0,0,0,63,4,1,0,18,0,0,7,2,0,103,0,95,7.554857246,0.234958657,18.10725182,9.276124405,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.069901265,0.000510219,10,124690419,124713919,282373.8,619,2.79E-06,0.406665,0.0128409,14,45.7027,91.24324,0.921668,99.05574,7.829508,39.1782,3.30E-06,6,3.578947368,0,0
KATNAL2,0,9,3,10,1,1,0,1,3,97,12,0,0,36,2,0,2,4,0,169,0,144,6.681498285,2.688949838,16.87431862,9.13442632,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,18,44526787,44628613,120135.8,561,3.15E-06,0.423885,0.01161878,12,48.94595,97.83784,0.07032453,123.1016,14.82951,43.79453,1.12E-08,3,3.054054054,0,0
TMEM56-RWDD3,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,6,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0.5,0,0
CTD-2303H24.2,0,0,0,0,0,0,0,0,2,0,0,0,41,0,1,0,2,1,0,41,0,40,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,1,0,0
SOWAHB,0,10,0,0,1,2,1,0,0,95,3,0,0,34,0,0,2,2,0,142,0,123,6.681498285,2.688949838,18.64975964,8.854868383,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,4,77816083,77819002,411278.5,462,1.82E-06,0.42058,0.02552086,13,40.56757,77.37838,0.991734,139.3639,22.6,54.24704,0.000152065,24.91374182,2.857142857,0,0
RP11-225B17.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0,0,0
