Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,class
BRCA2,0.0,6.0,0.0,3.0,50.0,25.0,4.0,0.0,1.0,554.0,72.0,0.0,0.0,115.0,8.0,0.0,54.0,25.0,0.0,759.0,0.0,515,6.5351253311284925,2.9345554137837326,17.755650444743303,8.854868383260236,-0.033364106,0.042727545,0.053478934,0.01960151,-0.14494678,0.050303634,0.867041903,0.0268838,13.0,32889617.0,32973809.0,221300.0,462.0,2.481931e-06,0.394025,0.04401204,5.0,50.13514,97.48649,0.9404518,113.8426,10.00328,34.61398,0.0003139679999999,67.0,5.681034482758621,1
BRD7,13.0,8.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,94.0,28.0,0.0,0.0,25.0,5.0,0.0,8.0,5.0,0.0,174.0,0.0,154,10.16293513851088,0.2630625781446426,18.21349442833342,9.025139562278508,-0.026512142,0.03303633,0.0491895,0.010704025,-0.12320826,0.044894252,0.865223315,0.00992849,16.0,50352929.0,50402745.0,303953.2,520.0,2.413292e-06,0.46883,0.01405502,7.0,47.18919,93.13514,0.8152683000000001,185.4459,30.26557,40.84256,4.28e-05,42.0,5.076923076923077,1
BTG2,0.0,41.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,14.0,2.0,2.0,12.0,2.0,0.0,95.0,0.0,91,11.255808041244777,1.7785730167072105,19.13208346893208,8.717676423066399,0.068543784,0.037368555,0.104253046,0.039678257,-0.04925744,0.0116681,0.089890281,0.000869225,1.0,203274664.0,203278727.0,574553.2,420.0,2.398682e-06,0.46232,0.02587524,17.0,38.08108,72.75676,0.9279294,64.65245999999999,2.544262,63.11601999999999,8.640000000000001e-05,19.0,2.8666666666666667,1
CACNA1A,0.0,2.0,0.0,0.0,36.0,5.0,1.0,0.0,12.0,461.0,28.0,0.0,0.0,237.0,11.0,0.0,37.0,5.0,0.0,751.0,0.0,561,4.4149514287111575,4.725936514525529,20.614131979008302,8.960001932068081,0.012945522,0.027767455,0.07001951,0.028403524,-0.0670597,0.015910592,0.480643792,0.081587487,19.0,13317256.0,13617274.0,1604988.0,497.0,2.734129e-06,0.4856925,0.01180254,37.0,42.91892,82.78378000000001,0.804944,61.27541,5.72459,53.19387,0.000833179,93.0,2.1218487394957983,1
CARD11,0.0,42.0,0.0,14.0,25.0,2.0,3.0,0.0,1.0,352.0,18.0,0.0,0.0,156.0,10.0,0.0,30.0,2.0,1.0,590.0,0.0,460,7.432903981820799,4.186104182157073,19.277307380911427,9.126704472843189,0.060885847,0.03740974,0.104164526,0.032396216,-0.0714577,0.029502885,0.947908652,0.085605554,7.0,2945769.0,3083579.0,635399.8,558.0,2.920871e-06,0.495975,0.02412943,13.0,49.08108,88.37838,0.8661502000000001,114.2033,12.79672,57.08679,1.3e-05,21.0,2.43312101910828,1
CASP8,0.0,14.0,0.0,11.0,24.0,11.0,8.0,0.0,4.0,178.0,76.0,1.0,0.0,27.0,18.0,0.0,33.0,13.0,0.0,326.0,0.0,285,8.96949543552183,1.2576913392427431,19.12497572994381,8.59618975614441,0.0067157205,0.017594205,0.0430691,0.0089595625,-0.07814952,0.027467001,1.022182139,0.219170891,2.0,202098166.0,202152434.0,571729.5,386.0,2.074796e-06,0.4385,0.03690582,15.0,54.02703,98.97297,0.9000386999999999,130.7541,16.53115,44.43342,0.000715048,102.0,10.107142857142858,1
CBFB,0.0,27.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,41.0,7.0,0.0,0.0,7.0,4.0,1.0,10.0,4.0,0.0,83.0,0.0,87,10.104579047510349,0.4290334306269949,20.02736744408132,6.977279923499918,-0.032645516,0.036361217,0.04871234,0.010884269,-0.13271949,0.04954491,0.186346705,0.016020485,16.0,67063050.0,67134956.0,1068656.0,125.0,1.599883e-06,0.4760649999999999,0.04752437,20.0,37.02703,77.54054000000001,0.8494804,107.0656,11.6459,42.58981,4.210000000000001e-05,25.0,6.875,1
CBWD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,18,8.04321782066751,1.0402040918150557,16.80634570909341,9.794415866350104,-0.019338336,0.019444855,0.03500928,0.0069425562,-0.09917914,0.02709973,0.4439186536272007,0.0288399977075919,9.0,70432001.0,70914931.0,114606.8,887.0,4.912504e-06,0.3838397999999999,-0.008532316,5.0,46.32432,89.59459,0.4038403,345.259,68.21311,37.62768,1.35e-05,9.0,5.333333333333333,1
CCND1,0.0,20.0,0.0,7.0,1.0,0.0,6.0,2.0,1.0,62.0,6.0,0.0,0.0,26.0,1.0,0.0,11.0,3.0,0.0,118.0,0.0,119,11.942524037970994,3.304132716752969,18.75183103710777,9.068778277985412,0.05142758,0.09564712,0.11340715,0.12267147,-0.07283852,0.018326795,7.306355839,0.36803722,11.0,69455873.0,69469241.0,441430.8,536.0,2.854639e-06,0.48003,0.04094218,10.0,63.64865,72.32432,0.8834812,99.8459,7.944261999999999,62.12554,0.000304666,78.0,2.6296296296296298,1
CD70,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,71.0,0.0,71,3.728555883191645,6.6814975137156125,19.674712787989023,7.734709620225838,-0.014516296,0.024792021,0.05037037,0.011134305,-0.09485185,0.030036677,0.4439186536272007,0.0288399977075919,19.0,6585851.0,6591163.0,836908.9,212.0,2.80275e-06,0.52482,0.02119229,33.0,39.64865,84.18919,0.9228833,82.3541,2.9147540000000003,60.23917,0.0,2.0,2.2777777777777777,1
CD79B,0.0,17.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,29.0,0.0,0.0,0.0,28.0,1.0,0.0,3.0,0.0,0.0,80.0,0.0,74,5.80914525268982,4.0903059588348425,20.4728028712418,8.661778097771986,0.03176909,0.029707382,0.07839885,0.027402908,-0.06531212,0.020556137,0.854454728,0.008603333,17.0,62006098.0,62009704.0,1455216.0,404.0,2.263443e-06,0.52599,0.02480486,23.0,50.10811,91.94595,0.9054798,85.09508000000001,3.980328,59.95741,1.96e-05,8.0,1.0344827586206895,1
CDH1,0.0,25.0,0.0,1.0,50.0,37.0,9.0,0.0,1.0,173.0,41.0,0.0,0.0,50.0,29.0,0.0,68.0,41.0,0.0,307.0,0.0,365,11.466600278109087,11.056224975368364,19.817683989283854,7.912889336229964,-0.03335244,0.036356024,0.04868095,0.011068961,-0.13376297,0.04899103,1.134385708,0.110970377,16.0,68771195.0,68869444.0,924095.5,240.0,1.793947e-06,0.481855,0.03016505,23.0,50.78378,95.51351,0.8880184999999999,130.8787,15.25574,47.96003,0.000395585,86.0,5.490196078431373,1
CDK12,0.0,11.0,3.0,5.0,28.0,12.0,3.0,2.0,0.0,253.0,26.0,0.0,0.0,66.0,5.0,0.0,34.0,16.0,0.0,364.0,0.0,339,10.18655373824213,0.5346525687828968,20.42633028260349,7.906890595608518,0.020035202,0.064270414,0.08287646,0.072127156,-0.09282814,0.030333932,0.4439186536272007,0.0288399977075919,17.0,37617739.0,37690799.0,1409087.0,239.0,2.282342e-06,0.45166,0.02758249,20.0,53.62161999999999,97.67568,0.9348665,151.4,19.67869,47.58332,0.0001488429999999,25.0,4.447761194029851,1
CDK4,0.0,8.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,58.0,2.0,0.0,0.0,18.0,0.0,0.0,4.0,2.0,0.0,87.0,0.0,80,11.44164311568854,0.6562086329250704,20.146750134777488,8.430452551665532,0.04389504,0.06937762,0.08832624,0.08941204,-0.05320592,0.011855687,0.290734886,0.004255677,12.0,58142005.0,58146164.0,1160849.0,344.0,2.386428e-06,0.46755,0.03909095,39.0,56.10811,98.7027,0.9091528,169.3148,26.49508,50.919,0.001104291,138.0,3.263157894736842,1
